Time, Heartrate (BPM)
2022-08-14 13:00:11, 70, 
2022-08-14 13:00:12, 69, 
2022-08-14 13:00:13, 69, 
2022-08-14 13:00:14, 68, 
2022-08-14 13:00:15, 68, 
2022-08-14 13:00:16, 67, 
2022-08-14 13:00:17, 66, 
2022-08-14 13:00:18, 65, 
2022-08-14 13:00:19, 64, 
2022-08-14 13:00:20, 64, 
2022-08-14 13:00:21, 63, 
2022-08-14 13:00:22, 64, 
2022-08-14 13:00:23, 65, 
2022-08-14 13:00:24, 66, 
2022-08-14 13:00:25, 66, 
2022-08-14 13:00:26, 65, 
2022-08-14 13:00:27, 64, 
2022-08-14 13:00:28, 64, 
2022-08-14 13:00:29, 64, 
2022-08-14 13:00:30, 65, 
2022-08-14 13:00:31, 65, 
2022-08-14 13:00:32, 67, 
2022-08-14 13:00:33, 67, 
2022-08-14 13:00:34, 67, 
2022-08-14 13:00:35, 67, 
2022-08-14 13:00:36, 67, 
2022-08-14 13:00:37, 68, 
2022-08-14 13:00:38, 69, 
2022-08-14 13:00:39, 69, 
2022-08-14 13:00:41, 69, 
2022-08-14 13:00:41, 71, 
2022-08-14 13:00:42, 71, 
2022-08-14 13:00:43, 72, 
2022-08-14 13:00:44, 72, 
2022-08-14 13:00:45, 71, 
2022-08-14 13:00:46, 71, 
2022-08-14 13:00:47, 70, 
2022-08-14 13:00:48, 70, 
2022-08-14 13:00:49, 70, 
2022-08-14 13:00:50, 69, 
2022-08-14 13:00:51, 69, 
2022-08-14 13:00:52, 68, 
2022-08-14 13:00:53, 67, 
2022-08-14 13:00:54, 67, 
2022-08-14 13:00:55, 67, 
2022-08-14 13:00:56, 67, 
2022-08-14 13:00:57, 67, 
2022-08-14 13:00:58, 66, 
2022-08-14 13:00:59, 66, 
2022-08-14 13:01:00, 65, 
2022-08-14 13:01:01, 65, 
2022-08-14 13:01:02, 65, 
2022-08-14 13:01:03, 64, 
2022-08-14 13:01:04, 64, 
2022-08-14 13:01:05, 63, 
2022-08-14 13:01:06, 63, 
2022-08-14 13:01:07, 63, 
2022-08-14 13:01:08, 63, 
2022-08-14 13:01:09, 62, 
2022-08-14 13:01:10, 62, 
2022-08-14 13:01:11, 61, 
2022-08-14 13:01:12, 61, 
2022-08-14 13:01:13, 61, 
2022-08-14 13:01:14, 61, 
2022-08-14 13:01:15, 61, 
2022-08-14 13:01:16, 61, 
2022-08-14 13:01:17, 62, 
2022-08-14 13:01:18, 63, 
2022-08-14 13:01:19, 64, 
2022-08-14 13:01:20, 66, 
